card	artwork	edited artwork	atk	def	level	race	attribute	type	spell/trap type
Alinsection	0	No	950	700	3	Insect	EARTH	None	None
Insect Soldiers of the Sky	0	No	1000	800	3	Insect	WIND	Effect	None
Cockroach Knight	0	No	800	900	3	Insect	EARTH	Effect	None
Burglar	0	No	850	800	3	Beast	EARTH	None	None
Pragtical	0	No	1900	1500	5	Dinosaur	EARTH	Fusion	None
Ameba	0	No	300	350	1	Aqua	WATER	Effect	None
Korogashi	0	No	550	400	2	Insect	EARTH	None	None
Boo Koo	0	No	650	500	2	Spellcaster	DARK	None	None
Flower Wolf	0	No	1800	1400	5	Beast	EARTH	Fusion	None
Rainbow Flower	0	No	400	500	2	Plant	EARTH	Effect	None
Barrel Lily	0	Yes	1100	600	3	Plant	EARTH	None	None
Hoshiningen	0	No	500	700	2	Fairy	LIGHT	Effect	None
Maha Vailo	0	No	1550	1400	4	Spellcaster	LIGHT	Effect	None
Musician King	0	No	1750	1500	5	Spellcaster	LIGHT	Fusion	None
Wilmee	0	No	1000	1200	4	Beast	EARTH	None	None
Dragon Seeker	0	No	2000	2100	6	Fiend	DARK	Effect	None
Man-Eater Bug	0	No	450	600	2	Insect	EARTH	Effect	None
D. Human	0	No	1300	1100	4	Warrior	EARTH	None	None
Turtle Raccoon	0	Yes	700	900	3	Aqua	WATER	None	None
Prisman	0	No	800	1000	3	Rock	LIGHT	None	None
Crazy Fish	0	No	1600	1200	4	Fish	WATER	None	None
Bracchio-raidus	0	No	2200	2000	6	Dinosaur	WATER	Fusion	None
Laughing Flower	0	No	900	500	2	Plant	EARTH	None	None
Bean Soldier	0	No	1400	1300	4	Plant	EARTH	None	None
Cannon Soldier	0	Yes	1400	1300	4	Machine	DARK	Effect	None
Guardian of the Throne Room	0	Yes	1650	1600	4	Machine	LIGHT	None	None
Brave Scizzar	0	No	1300	1000	4	Machine	DARK	None	None
The Statue of Easter Island	0	No	1100	1400	4	Rock	EARTH	None	None
Muka Muka	0	No	600	300	2	Rock	EARTH	Effect	None
Boulder Tortoise	0	No	1450	2200	6	Aqua	WATER	None	None
Fire Kraken	0	No	1600	1500	4	Aqua	FIRE	None	None
Turtle Bird	0	No	1900	1700	6	Aqua	WATER	None	None
Skullbird	0	No	1900	1700	6	Winged Beast	WIND	Fusion	None
Monstrous Bird	0	No	2000	1900	6	Winged Beast	WIND	None	None
The Bistro Butcher	0	No	1800	1000	4	Fiend	DARK	Effect	None
Star Boy	0	No	550	500	2	Aqua	WATER	Effect	None
Milus Radiant	0	No	300	250	1	Beast	EARTH	Effect	None
Flame Cerebrus	0	No	2100	1800	6	Pyro	FIRE	None	None
Eldeen	0	No	950	1000	3	Spellcaster	LIGHT	None	None
Mystical Sand	0	No	2100	1700	6	Rock	EARTH	Fusion	None
Gemini Elf	0	Yes	1900	900	4	Spellcaster	EARTH	None	None
Gemini Elf	1	Yes	1900	900	4	Spellcaster	EARTH	None	None
Minar	0	No	850	750	3	Insect	EARTH	Effect	None
Kamakiriman	0	No	1150	1400	4	Insect	EARTH	None	None
Mechaleon	0	No	800	600	2	Reptile	WATER	None	None
Mega Thunderball	0	No	750	600	2	Thunder	WIND	None	None
Niwatori	0	No	900	800	3	Winged Beast	EARTH	None	None
Corroding Shark	0	Yes	1100	700	3	Zombie	DARK	None	None
Skelengel	0	Yes	900	400	2	Fairy	LIGHT	Effect	None
Hane-Hane	0	No	450	500	2	Beast	EARTH	Effect	None
Tongyo	0	No	1350	800	4	Fish	WATER	None	None
Dharma Cannon	0	Yes	900	500	2	Machine	DARK	None	None
Skelgon	0	No	1700	1900	6	Zombie	DARK	Fusion	None
Wow Warrior	0	No	1250	900	4	Fish	WATER	None	None
Griggle	0	No	350	300	1	Plant	EARTH	Effect	None
Frog the Jam	0	No	700	500	2	Aqua	WATER	None	None
Behegon	0	No	1350	1000	4	Aqua	WATER	None	None
Dark Elf	0	No	2000	800	4	Spellcaster	DARK	Effect	None
Winged Dragon, Guardian of the Fortress	0	No	1200	1000	4	Winged Beast	WIND	None	None
The Wandering Doomed	0	No	800	600	2	Zombie	DARK	None	None
Steel Ogre Grotto	0	No	1400	1800	5	Machine	EARTH	None	None
Oscillo Hero	0	No	1250	700	3	Warrior	EARTH	None	None
Invader from Another Dimension	0	No	950	1400	4	Fiend	DARK	None	None
Lesser Dragon	0	No	1200	1000	4	Dragon	WIND	None	None
Needle Worm	0	No	750	600	2	Insect	EARTH	Effect	None
Wretched Ghost of the Attic	0	No	550	400	2	Fiend	DARK	None	None
Great Mammoth of Goldfine	0	No	2200	1800	6	Zombie	DARK	Fusion	None
Man-eating Black Shark	0	No	2100	1300	5	Fish	WATER	Fusion	None
Yormungarde	0	No	1200	900	3	Reptile	EARTH	None	None
Darkworld Thorns	0	No	1200	900	3	Plant	EARTH	None	None
Anthrosaurus	0	No	1000	850	3	Dinosaur	EARTH	None	None
Drooling Lizard	0	No	900	800	3	Reptile	EARTH	None	None
Trakadon	0	No	1300	800	3	Dinosaur	EARTH	None	None
B. Dragon Jungle King	0	No	2100	1800	6	Dragon	EARTH	None	None
Little D	0	No	1100	700	3	Dinosaur	EARTH	None	None
Witch of the Black Forest	0	No	1100	1200	4	Spellcaster	DARK	Effect	None
Giant Scorpion of the Tundra	0	No	1100	1000	3	Insect	EARTH	None	None
Abyss Flower	0	No	750	400	2	Plant	EARTH	None	None
Takuhee	0	No	1450	1000	4	Winged Beast	WIND	None	None
Binding Chain	0	No	1000	1100	3	Fairy	LIGHT	None	None
Mechanical Snail	0	No	800	1000	3	Machine	DARK	None	None
Greenkappa	0	Yes	650	900	3	Warrior	DARK	Effect	None
Mon Larvas	0	No	1300	1400	4	Beast	EARTH	None	None
Living Vase	0	No	900	1100	3	Plant	EARTH	None	None
Tentacle Plant	0	No	500	600	2	Plant	WATER	None	None
Beaked Snake	0	No	800	900	3	Reptile	EARTH	None	None
Morphing Jar	0	No	700	600	2	Rock	EARTH	Effect	None
Muse-A	0	No	850	900	3	Fairy	LIGHT	None	None
Rose Spectre of Dunn	0	Yes	2000	1800	6	Plant	DARK	Fusion	None
Fiend Reflection	0	No	1300	1400	4	Winged Beast	WIND	None	None
Ghoul with an Appetite	0	No	1600	1200	4	Zombie	DARK	None	None
Pale Beast	0	No	1500	1200	4	Beast	EARTH	None	None
Little Chimera	0	No	600	550	2	Beast	FIRE	Effect	None
Violent Rain	0	No	1550	800	4	Aqua	WATER	None	None
Key Mace	0	No	1050	1200	4	Fiend	DARK	None	None
Tenderness	0	No	700	1400	3	Fairy	LIGHT	None	None
Penguin Soldier	0	No	750	500	2	Aqua	WATER	Effect	None
Fairy Dragon	0	No	1100	1200	4	Dragon	WIND	None	None
Obese Marmot of Nefariousness	0	No	750	800	3	Beast	EARTH	None	None
Liquid Beast	0	No	950	800	3	Aqua	WATER	None	None
Twin Long Rods	0	No	850	700	3	Aqua	WATER	None	None
Great Bill	0	No	1250	1300	4	Beast	EARTH	None	None
Shining Friendship	0	Yes	1300	1100	4	Fairy	LIGHT	None	None
Bladefly	0	No	600	700	2	Insect	WIND	Effect	None
Hiro's Shadow Scout	0	No	650	500	2	Fiend	DARK	Effect	None
Lady of Faith	0	No	1100	800	3	Spellcaster	LIGHT	None	None
Twin-Headed Thunder Dragon	0	No	2800	2100	7	Thunder	LIGHT	Fusion	None
Armored Starfish	0	No	850	1400	4	Aqua	WATER	None	None
Marine Beast	0	No	1700	1600	5	Fish	WATER	Fusion	None
Warrior of Tradition	0	No	1900	1700	6	Warrior	EARTH	Fusion	None
Snakeyashi	0	No	1000	1200	4	Plant	EARTH	None	None
The Thing That Hides in the Mud	0	No	1200	1300	4	Rock	EARTH	None	None
High Tide Gyojin	0	No	1650	1300	4	Aqua	WATER	None	None
Fairy of the Fountain	0	Yes	1600	1100	4	Aqua	WATER	None	None
Amazon of the Seas	0	Yes	1300	1400	4	Fish	WATER	None	None
Nekogal	0	Yes	1900	2000	6	Beast-Warrior	EARTH	None	None
Witch's Apprentice	0	No	550	500	2	Spellcaster	DARK	Effect	None
Armored Rat	0	No	950	1100	3	Beast	EARTH	None	None
Ancient Lizard Warrior	0	No	1400	1100	4	Reptile	EARTH	None	None
Maiden of the Moonlight	0	Yes	1500	1300	4	Spellcaster	LIGHT	None	None
Night Lizard	0	No	1150	1300	4	Aqua	WATER	None	None
Blue-Winged Crown	0	No	1600	1200	4	Winged Beast	WIND	None	None
Amphibious Bugroth	0	No	1850	1300	5	Aqua	WATER	Fusion	None
Acid Crawler	0	No	900	700	3	Insect	EARTH	None	None
Invader of the Throne	0	Yes	1350	1700	4	Warrior	EARTH	Effect	None
Mystical Sheep	0	No	1150	900	3	Beast	EARTH	Effect	None
Disk Magician	0	No	1350	1000	4	Machine	DARK	None	None
Flame Viper	0	No	400	450	2	Pyro	EARTH	None	None
Royal Guard	0	No	1900	2200	6	Machine	EARTH	None	None
Gruesome Goo	0	No	1300	700	3	Aqua	WATER	None	None
Whiptail Crow	0	No	1650	1600	4	Fiend	DARK	None	None
Kunai with Chain	0	No	0	0	0	Trap	Trap	Trap	None
Kunai with Chain	1	No	0	0	0	Trap	Trap	Trap	None
Magical Labyrinth	0	No	0	0	0	Spell	Spell	Spell	Equip
Salamandra	0	No	0	0	0	Spell	Spell	Spell	Equip
Eternal Rest	0	No	0	0	0	Spell	Spell	Spell	None
Megamorph	0	No	0	0	0	Spell	Spell	Spell	Equip
Metalmorph	0	No	0	0	0	Trap	Trap	Trap	None
Metalmorph	1	No	0	0	0	Trap	Trap	Trap	None
Crush Card	0	No	0	0	0	Trap	Trap	Trap	None
Crush Card	1	No	0	0	0	Trap	Trap	Trap	None
Bright Castle	0	No	0	0	0	Spell	Spell	Spell	Equip
Shadow Spell	0	No	0	0	0	Trap	Trap	Trap	Continuous
Black Luster Ritual	0	No	0	0	0	Spell	Spell	Spell	Ritual
Zera Ritual	0	No	0	0	0	Spell	Spell	Spell	Ritual
Harpie's Feather Duster	0	No	0	0	0	Spell	Spell	Spell	None
Harpie's Feather Duster	1	No	0	0	0	Spell	Spell	Spell	None
War-Lion Ritual	0	No	0	0	0	Spell	Spell	Spell	Ritual
Beastly Mirror Ritual	0	No	0	0	0	Spell	Spell	Spell	Ritual
Commencement Dance	0	No	0	0	0	Spell	Spell	Spell	Ritual
Hamburger Recipe	0	No	0	0	0	Spell	Spell	Spell	Ritual
Novox's Prayer	0	No	0	0	0	Spell	Spell	Spell	Ritual
House of Adhesive Tape	0	No	0	0	0	Trap	Trap	Trap	None
Acid Trap Hole	0	No	0	0	0	Trap	Trap	Trap	None
Acid Trap Hole	1	No	0	0	0	Trap	Trap	Trap	None
Widespread Ruin	0	No	0	0	0	Trap	Trap	Trap	None
Widespread Ruin	1	No	0	0	0	Trap	Trap	Trap	None
Bad Reaction to Simochi	0	No	0	0	0	Trap	Trap	Trap	Continuous
Reverse Trap	0	No	0	0	0	Trap	Trap	Trap	None
Turtle Oath	0	No	0	0	0	Spell	Spell	Spell	Ritual
Resurrection of Chakra	0	Yes	0	0	0	Spell	Spell	Spell	Ritual
Javelin Beetle Pact	0	No	0	0	0	Spell	Spell	Spell	Ritual
Garma Sword Oath	0	No	0	0	0	Spell	Spell	Spell	Ritual
Revival of Dokurorider	0	No	0	0	0	Spell	Spell	Spell	Ritual
Fortress Whale's Oath	0	No	0	0	0	Spell	Spell	Spell	Ritual
Performance of Sword	0	Yes	1950	1850	6	Warrior	EARTH	Ritual	None
Hungry Burger	0	No	2000	1850	6	Warrior	DARK	Ritual	None
Sengenjin	0	No	2750	2500	8	Beast-Warrior	EARTH	None	None
Skull Guardian	0	No	2050	2500	7	Warrior	LIGHT	Ritual	None
Tri-Horned Dragon	0	No	2850	2350	8	Dragon	DARK	None	None
Serpent Night Dragon	0	No	2350	2400	7	Dragon	DARK	None	None
Cosmo Queen	0	No	2900	2450	8	Spellcaster	DARK	None	None
Chakra	0	No	2450	2000	7	Fiend	DARK	Ritual	None
Crab Turtle	0	No	2550	2500	8	Aqua	WATER	Ritual	None
Mikazukinoyaiba	0	No	2200	2350	7	Dragon	DARK	None	None
Meteor Dragon	0	No	1800	2000	6	Dragon	EARTH	None	None
Meteor B. Dragon	0	No	3500	2000	8	Dragon	FIRE	Fusion	None
Firewing Pegasus	0	No	2250	1800	6	Beast	FIRE	None	None
Garma Sword	0	No	2550	2150	7	Warrior	DARK	Ritual	None
Javelin Beetle	0	No	2450	2550	8	Insect	EARTH	Ritual	None
Fortress Whale	0	Yes	2350	2150	7	Fish	WATER	Ritual	None
Dokurorider	0	No	1900	1850	6	Zombie	DARK	Ritual	None
Dark Magic Ritual	0	Yes	0	0	0	Spell	Spell	Spell	Ritual
Magician of Black Chaos	0	Yes	2800	2600	8	Spellcaster	DARK	Ritual	None
Slot Machine	0	No	2000	2300	7	Machine	DARK	None	None
Red Archery Girl	0	Yes	1400	1500	4	Aqua	WATER	None	None
Ryu-Ran	0	No	2200	2600	7	Dragon	FIRE	None	None
Manga Ryu-Ran	0	No	2200	2600	7	Dragon	FIRE	Toon	None
Toon Mermaid	0	No	1400	1500	4	Aqua	WATER	Toon	None
Toon Summoned Skull	0	No	2500	1200	6	Fiend	DARK	Toon	None
Relinquished	0	No	0	0	1	Spellcaster	DARK	Ritual/Effect	None
Thousand-Eyes Idol	0	No	0	0	1	Spellcaster	DARK	None	None
Thousand-Eyes Restrict	0	No	0	0	1	Spellcaster	DARK	Fusion/Effect	None
Steel Ogre Grotto	0	No	1900	2200	6	Machine	EARTH	None	None
Blast Sphere	0	No	1400	1400	4	Machine	DARK	Effect	None
Hyozanryu	0	No	2100	2800	7	Dragon	LIGHT	None	None
Alpha The Magnet Warrior	0	No	1400	1700	4	Rock	EARTH	None	None
Lord of D.	0	No	1200	1100	4	Spellcaster	DARK	Effect	None
Red-Eyes Black Metal Dragon	0	No	2800	2400	8	Machine	DARK	Effect	None
Red-Eyes Black Metal Dragon	1	No	2800	2400	8	Machine	DARK	Effect	None
Barrel Dragon	0	Yes	2600	2200	7	Machine	DARK	Effect	None
Hannibal Necromancer	0	No	1400	1800	4	Spellcaster	DARK	Effect	None
Panther Warrior	0	No	2000	1600	4	Beast-Warrior	EARTH	Effect	None
Panther Warrior	1	No	2000	1600	4	Beast-Warrior	EARTH	Effect	None
Three-Headed Geedo	0	No	1200	1400	4	Fiend	DARK	None	None
Gazelle the King of Mythical Beasts	0	No	1500	1200	4	Beast	EARTH	None	None
Stone Statue of the Aztecs	0	No	300	2000	4	Rock	EARTH	Effect	None
Berfomet	0	No	1400	1800	5	Fiend	DARK	Effect	None
Chimera the Flying Mythical Beast	0	No	2100	1800	6	Beast	WIND	Fusion/Effect	None
Gear Golem the Moving Fortress	0	No	800	2200	4	Machine	EARTH	Effect	None
Jinzo	0	No	2400	1500	6	Machine	DARK	Effect	None
Swordsman of Landstar	0	No	500	1200	3	Warrior	EARTH	None	None
Cyber Raider	0	No	1400	1000	4	Machine	DARK	Effect	None
The Fiend Megacyber	0	No	2200	1200	6	Warrior	DARK	Effect	None
Reflect Bounder	0	No	1700	1000	4	Machine	LIGHT	Effect	None
Beta The Magnet Warrior	0	No	1700	1600	4	Rock	EARTH	None	None
Big Shield Gardna	0	No	100	2600	4	Warrior	EARTH	Effect	None
Big Shield Gardna	1	No	100	2600	4	Warrior	EARTH	Effect	None
Dark Magician Girl	0	Yes	2000	1700	6	Spellcaster	DARK	Effect	None
Dark Magician Girl	1	Yes	2000	1700	6	Spellcaster	DARK	Effect	None
Dark Magician Girl	2	Yes	2000	1700	6	Spellcaster	DARK	Effect	None
Alligator's Sword	0	No	1500	1200	4	Beast	EARTH	None	None
Insect Queen	0	No	2200	2400	7	Insect	EARTH	Effect	None
Parasite Paracide	0	Yes	500	300	2	Insect	EARTH	Effect	None
Skull-Mark Ladybug	0	No	500	1500	4	Insect	EARTH	Effect	None
Little-Winguard	0	No	1400	1800	4	Warrior	WIND	Effect	None
Pinch Hopper	0	No	1000	1200	4	Insect	EARTH	Effect	None
Blue-Eyes Toon Dragon	0	No	3000	2500	8	Dragon	LIGHT	Toon	None
Sword Hunter	0	No	2450	1700	7	Warrior	EARTH	Effect	None
Drill Bug	0	No	1100	200	2	Insect	EARTH	Effect	None
Deepsea Warrior	0	No	1600	1800	5	Warrior	WATER	Effect	None
Satellite Cannon	0	No	0	0	5	Machine	LIGHT	Effect	None
The Last Warrior from Another Planet	0	No	2350	2300	7	Warrior	EARTH	Fusion/Effect	None
Dunames Dark Witch	0	Yes	1800	1050	4	Fairy	LIGHT	None	None
Garnecia Elefantis	0	No	2400	2000	7	Beast-Warrior	EARTH	None	None
Total Defense Shogun	0	No	1550	2500	6	Warrior	DARK	Effect	None
Beast of Talwar	0	No	2400	2150	6	Fiend	DARK	None	None
Cyber-Tech Alligator	0	No	2500	1600	5	Machine	WIND	None	None
Gamma The Magnet Warrior	0	No	1500	1800	4	Rock	EARTH	None	None
Time Machine	0	No	0	0	0	Trap	Trap	Trap	None
Copycat	0	No	0	0	1	Spellcaster	LIGHT	Effect	None
Toon World	0	No	0	0	0	Spell	Spell	Spell	Continuous
Toon World	1	No	0	0	0	Spell	Spell	Spell	Continuous
Gorgon's Eye	0	No	0	0	0	Trap	Trap	Trap	None
Black Illusion Ritual	0	No	0	0	0	Spell	Spell	Spell	Ritual
Brain Control	0	No	0	0	0	Spell	Spell	Spell	None
Negate Attack	0	No	0	0	0	Trap	Trap	Trap	Counter
Multiply	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
Lightforce Sword	0	No	0	0	0	Trap	Trap	Trap	None
The Flute of Summoning Dragon	0	No	0	0	0	Spell	Spell	Spell	None
Shield & Sword	0	Yes	0	0	0	Spell	Spell	Spell	None
Graceful Charity	0	Yes	0	0	0	Spell	Spell	Spell	None
Chain Destruction	0	No	0	0	0	Trap	Trap	Trap	None
Mesmeric Control	0	No	0	0	0	Spell	Spell	Spell	None
Graceful Dice	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
Skull Dice	0	No	0	0	0	Trap	Trap	Trap	None
Mind Control	0	No	0	0	0	Spell	Spell	Spell	None
Scapegoat	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
Amplifier	0	No	0	0	0	Spell	Spell	Spell	Equip
Card Destruction	0	No	0	0	0	Spell	Spell	Spell	None
Tragedy	0	Yes	0	0	0	Trap	Trap	Trap	None
Ectoplasmer	0	No	0	0	0	Spell	Spell	Spell	Continuous
Dark Magic Curtain	0	Yes	0	0	0	Spell	Spell	Spell	None
Insect Barrier	0	No	0	0	0	Spell	Spell	Spell	Continuous
Magic-Arm Shield	0	No	0	0	0	Trap	Trap	Trap	None
Fissure	0	No	0	0	0	Spell	Spell	Spell	None
Trap Hole	0	No	0	0	0	Trap	Trap	Trap	None
Polymerization	0	No	0	0	0	Spell	Spell	Spell	None
Remove Trap	0	No	0	0	0	Spell	Spell	Spell	None
Two-Pronged Attack	0	No	0	0	0	Trap	Trap	Trap	None
Monster Reborn	0	Yes	0	0	0	Spell	Spell	Spell	None
De-Spell	0	No	0	0	0	Spell	Spell	Spell	None
Pot of Greed	0	No	0	0	0	Spell	Spell	Spell	None
Gravedigger Ghoul	0	No	0	0	0	Spell	Spell	Spell	None
Reinforcements	0	No	0	0	0	Trap	Trap	Trap	None
Castle Walls	0	No	0	0	0	Trap	Trap	Trap	None
Ultimate Offering	0	Yes	0	0	0	Trap	Trap	Trap	Continuous
Tribute to The Doomed	0	No	0	0	0	Spell	Spell	Spell	None
Soul Release	0	Yes	0	0	0	Spell	Spell	Spell	None
The Cheerful Coffin	0	Yes	0	0	0	Spell	Spell	Spell	None
Change of Heart	0	No	0	0	0	Spell	Spell	Spell	None
Solemn Judgment	0	Yes	0	0	0	Trap	Trap	Trap	Counter
Magic Jammer	0	Yes	0	0	0	Trap	Trap	Trap	Counter
Seven Tools of the Bandit	0	No	0	0	0	Trap	Trap	Trap	Counter
Horn of Heaven	0	No	0	0	0	Trap	Trap	Trap	Counter
Just Desserts	0	No	0	0	0	Trap	Trap	Trap	None
Royal Decree	0	No	0	0	0	Trap	Trap	Trap	Continuous
Polymerization	0	Yes	0	0	0	Spell	Spell	Spell	None
Magical Thorn	0	No	0	0	0	Trap	Trap	Trap	Continuous
Restructer Revolution	0	No	0	0	0	Spell	Spell	Spell	None
Fusion Sage	0	No	0	0	0	Spell	Spell	Spell	None
Sword of Deep-Seated	0	No	0	0	0	Spell	Spell	Spell	Equip
Block Attack	0	No	0	0	0	Spell	Spell	Spell	None
The Unhappy Maiden	0	No	0	100	1	Spellcaster	LIGHT	Effect	None
Robbin' Goblin	0	No	0	0	0	Trap	Trap	Trap	Continuous
Germ Infection	0	No	0	0	0	Spell	Spell	Spell	Equip
Wall of Illusion	0	No	1000	1850	4	Fiend	DARK	Effect	None
Neo the Magic Swordsman	0	No	1700	1000	4	Spellcaster	LIGHT	None	None
Baron of the Fiend Sword	0	No	1550	800	4	Fiend	DARK	None	None
Man-Eating Treasure Chest	0	No	1600	1000	4	Fiend	DARK	None	None
Sorcerer of the Doomed	0	Yes	1450	1200	4	Spellcaster	DARK	None	None
Last Will	0	Yes	0	0	0	Spell	Spell	Spell	None
Waboku	0	No	0	0	0	Trap	Trap	Trap	None
Mirror Force	0	No	0	0	0	Trap	Trap	Trap	None
Ring of Magnetism	0	No	0	0	0	Spell	Spell	Spell	Equip
Share the Pain	0	Yes	0	0	0	Spell	Spell	Spell	None
Stim-Pack	0	Yes	0	0	0	Spell	Spell	Spell	Equip
Heavy Storm	0	No	0	0	0	Spell	Spell	Spell	None
Gravekeeper's Servant	0	No	0	0	0	Spell	Spell	Spell	Continuous
Upstart Goblin	0	No	0	0	0	Spell	Spell	Spell	None
Toll	0	No	0	0	0	Spell	Spell	Spell	Continuous
Final Destiny	0	No	0	0	0	Spell	Spell	Spell	None
Snatch Steal	0	No	0	0	0	Spell	Spell	Spell	Equip
Chorus of Sanctuary	0	Yes	0	0	0	Spell	Spell	Spell	Field
Confiscation	0	No	0	0	0	Spell	Spell	Spell	None
Delinquent Duo	0	No	0	0	0	Spell	Spell	Spell	None
Fairy's Hand Mirror	0	No	0	0	0	Trap	Trap	Trap	None
Tailor of the Fickle	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
Rush Recklessly	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
The Reliable Guardian	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
The Forceful Sentry	0	No	0	0	0	Spell	Spell	Spell	None
Chain Energy	0	No	0	0	0	Spell	Spell	Spell	Continuous
Mystical Space Typhoon	0	No	0	0	0	Spell	Spell	Spell	Quick-Play
Giant Trunade	0	No	0	0	0	Spell	Spell	Spell	None
Painful Choice	0	No	0	0	0	Spell	Spell	Spell	None
Snake Fang	0	No	0	0	0	Trap	Trap	Trap	None
Cyber Jar	0	No	900	900	3	Rock	DARK	Effect	None
Banisher of the Light	0	No	100	2000	3	Fairy	LIGHT	Effect	None
Giant Rat	0	No	1400	1450	4	Beast	EARTH	Effect	None
Senju of the Thousand Hands	0	Yes	1400	1000	4	Fairy	LIGHT	Effect	None
UFO Turtle	0	No	1400	1200	4	Machine	FIRE	Effect	None
Flash Assailant	0	No	2000	2000	4	Fiend	DARK	Effect	None
Karate Man	0	No	1000	1000	3	Warrior	EARTH	Effect	None
Giant Germ	0	No	1000	100	2	Fiend	DARK	Effect	None
Nimble Momonga	0	No	1000	100	2	Beast	EARTH	Effect	None
Spear Cretin	0	Yes	500	500	2	Fiend	DARK	Effect	None
Shining Angel	0	Yes	1400	800	4	Fairy	LIGHT	Effect	None
Mother Grizzly	0	No	1400	1000	4	Beast-Warrior	WATER	Effect	None
Flying Kamakiri	0	No	1400	900	4	Insect	WIND	Effect	None
Ceremonial Bell	0	No	0	1850	3	Spellcaster	LIGHT	Effect	None
Sonic Bird	0	No	1400	1000	4	Winged Beast	WIND	Effect	None
Mystic Tomato	0	Yes	1400	1100	4	Plant	DARK	Effect	None
Kotodama	0	No	0	1600	3	Fairy	EARTH	Effect	None
Gaia Power	0	No	0	0	0	Spell	Spell	Spell	Field
Umiiruka	0	No	0	0	0	Spell	Spell	Spell	Field
Molten Destruction	0	No	0	0	0	Spell	Spell	Spell	Field
Rising Air Current	0	No	0	0	0	Spell	Spell	Spell	Field
Luminous Spark	0	No	0	0	0	Spell	Spell	Spell	Field
Mystic Plasma Zone	0	No	0	0	0	Spell	Spell	Spell	Field
Messenger of Peace	0	No	0	0	0	Spell	Spell	Spell	Continuous
Michizure	0	No	0	0	0	Trap	Trap	Trap	None
Gust	0	No	0	0	0	Trap	Trap	Trap	None
Driving Snow	0	No	0	0	0	Trap	Trap	Trap	None
Numinous Healer	0	No	0	0	0	Trap	Trap	Trap	None
Appropriate	0	No	0	0	0	Trap	Trap	Trap	Continuous
Forced Requisition	0	No	0	0	0	Trap	Trap	Trap	Continuous
Minor Goblin Official	0	No	0	0	0	Trap	Trap	Trap	Continuous
Gamble	0	No	0	0	0	Trap	Trap	Trap	None
DNA Surgery	0	No	0	0	0	Trap	Trap	Trap	Continuous
The Regulation of Tribe	0	No	0	0	0	Trap	Trap	Trap	Continuous
Backup Soldier	0	Yes	0	0	0	Trap	Trap	Trap	None
Attack and Receive	0	No	0	0	0	Trap	Trap	Trap	None
Ceasefire	0	No	0	0	0	Trap	Trap	Trap	None
Light of Intervention	0	No	0	0	0	Trap	Trap	Trap	Continuous
Respect Play	0	No	0	0	0	Trap	Trap	Trap	Continuous
Imperial Order	0	No	0	0	0	Trap	Trap	Trap	Continuous
Skull Invitation	0	No	0	0	0	Trap	Trap	Trap	Continuous
Magical Hats	0	No	0	0	0	Trap	Trap	Trap	None
Nobleman of Crossout	0	No	0	0	0	Spell	Spell	Spell	None
Nobleman of Extermination	0	No	0	0	0	Spell	Spell	Spell	None
The Shallow Grave	0	Yes	0	0	0	Spell	Spell	Spell	None
Premature Burial	0	Yes	0	0	0	Spell	Spell	Spell	Equip
Morphing Jar	0	No	800	700	3	Rock	EARTH	Effect	None
Bubonic Vermin	0	No	900	600	3	Beast	EARTH	Effect	None
Twin-Headed Fire Dragon	0	No	2200	1700	6	Pyro	FIRE	None	None
Darkfire Soldier	0	No	1700	1150	4	Pyro	FIRE	None	None
Mr. Volcano	0	No	2100	1300	5	Pyro	FIRE	None	None
Darkfire Soldier	0	No	1700	1100	4	Pyro	FIRE	None	None
Kiseitai	0	No	300	800	2	Fiend	DARK	Effect	None
Cyber Falcon	0	No	1400	1200	4	Machine	WIND	None	None
Dark Bat	0	No	1000	1000	3	Winged Beast	WIND	None	None
Flying Kamakiri	0	No	1500	800	4	Insect	WIND	None	None
Harpie's Brother	0	No	1800	600	4	Winged Beast	WIND	None	None
Oni Tank T-34	0	No	1400	1700	4	Machine	EARTH	None	None
Overdrive	0	No	1600	1500	4	Machine	EARTH	None	None
Buster Blader	0	No	2600	2300	7	Warrior	EARTH	Effect	None
Time Seal	0	No	0	0	0	Trap	Trap	Trap	None
Graverobber	0	Yes	0	0	0	Trap	Trap	Trap	None
Gift of The Mystical Elf	0	No	0	0	0	Trap	Trap	Trap	None
The Eye of Truth	0	No	0	0	0	Trap	Trap	Trap	Continuous
Dust Tornado	0	No	0	0	0	Trap	Trap	Trap	None
Call of the Haunted	0	Yes	0	0	0	Trap	Trap	Trap	Continuous
Solomon's Lawbook	0	No	0	0	0	Trap	Trap	Trap	None
Enchanted Javelin	0	No	0	0	0	Trap	Trap	Trap	None
Mirror Wall	0	No	0	0	0	Trap	Trap	Trap	Continuous
Windstorm of Etaqua	0	No	0	0	0	Trap	Trap	Trap	None
Valkyrion the Magna Warrior	0	No	3500	3850	8	Rock	EARTH	Effect	None
Alligator's Sword Dragon	0	No	1700	1500	5	Dragon	WIND	Fusion/Effect	None
