index	card	atk	def	level	race	attribute	type	spell/trap type	description	rating
1909	Des Frog	1900	0	5	Aqua	WATER	Effect	None	When this card is Tribute Summoned successfully, you can Special Summon @5"Des Frog"@7(s) from your hand or Deck up to the same number of @5"T.A.D.P.O.L.E."@7(s) in your Graveyard.	
1403	Des Kangaroo	1500	1700	4	Beast	DARK	Effect	None	If the ATK of a monster that attacks this monster is lower than the DEF of this card, destroy the attacking monster. (Damage calculation is applied normally.)	
1281	Des Koala	1100	1800	3	Beast	DARK	Effect	None	FLIP: Inflict 400 points of damage to your opponent's Life Points for each card in your opponent's hand.	
1112	Des Lacooda	500	600	3	Zombie	EARTH	Effect	None	You can flip this card into face-down Defense Position once per turn during your Main Phase. When this card is Flip Summoned, you draw 1 card from your Deck.	
1094	Des Volstgalph	2200	1700	6	Dragon	EARTH	Effect	None	Each time this card destroys an enemy monster in battle and sends it to the Graveyard, 500 points of damage are inflicted on your opponent. Also, each time either player uses Normal Magic or Quick-Play Magic, the ATK of this card increases by 200 until the end of that turn (this effect is effective even on your opponent's turn).	
1844	Des Wombat	1600	300	3	Beast	EARTH	Effect	None	As long as this card remains face-up on the field, any damage by a card effect to the controller of this card becomes 0.	
1608	Desert Sunlight	0	0	0	Trap	Trap	Trap	None	All monsters on your side of the field are changed to face-up Defense Position.	
1575	Desertapir	900	300	3	Beast	EARTH	Effect	None	FLIP: Flip 1 face-up monster on the field into face-down Defense Position. You cannot select @5"Desertapir"@7.	
1323	Despair from the Dark	2800	3000	8	Zombie	DARK	Effect	None	When this card is sent from your hand or Deck to your Graveyard by your opponent's card effect, Special Summon this card to the field.	
1371	Desrook Archfiend	1100	1800	3	Fiend	LIGHT	Effect	None	The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 3, negate the effect and destroy the opponent's card. When a @5"Terrorking Archfiend"@7 on your side of the field is destroyed and sent to the Graveyard, you can send this card from your hand to the Graveyard to Special Summon the @5"Terrorking Archfiend"@7.	
939	Destiny Board	0	0	0	Trap	Trap	Trap	Continuous	At the end of each of your opponent's turns, place 1 @5"Spirit Message"@7 card from your hand or your Deck face-up to the field. If it is from your Deck, then shuffle your Deck. When @5"Spirit Message"@7 cards @5"I"@7, @5"N"@7, @5"A"@7, and @5"L"@7 are all on your side of the field in their proper order, you are declared the winner. If any of the cards are removed from the field while constructing the message, they are all sent to your Graveyard immediately.	
383	Destroyer Golem	1500	1000	4	Rock	EARTH	None	None	A golem with a massive right hand for crushing its victims.	
977	Destruction Punch	0	0	0	Trap	Trap	Trap	None	If the ATK of an attacking monster on your opponent's side of the field is lower than the DEF of the attacked Defense Position monster, destroy the attacking monster at the end of the Damage Step. (Damage calculation is applied normally.)	
1488	Destruction Ring	0	0	0	Trap	Trap	Trap	None	Destroy 1 face-up monster on your side of the field to inflict 1000 points of damage to both players' Life Points.	
453	Dharma Cannon	900	500	2	Machine	DARK	None	None	A monstrous creature whose body is lined with cannons that never miss their targets.	
304	Dian Keto the Cure Master	0	0	0	Spell	Spell	Spell	None	Increase your Life Points by 1000 points.	
1109	Dice Jar	200	300	3	Rock	LIGHT	Effect	None	FLIP: Both players roll a six-sided die once. The player with the lowest result takes damage equal to his/her opponent's result x 500 Life Points. However, if a winner's result is 6, the loser takes 6000 points of damage. If the results are the same, both players roll again.	
1392	Dice Re-Roll	0	0	0	Trap	Trap	Trap	None	Once this turn, negate 1 six-sided die roll and re-roll it.	
1184	Different Dimension Capsule	0	0	0	Spell	Spell	Spell	None	Select 1 card from your Deck and remove it from play face-down. During your 2nd Standby Phase after activation, destroy this card and add the removed card to your hand.	
1260	Diffusion Wave-Motion	0	0	0	Spell	Spell	Spell	None	Pay 1000 Life Points. Select 1 Level 7 or higher Spellcaster-Type monster on your side of the field. During this turn, only the selected monster can attack and it attacks all monsters on your opponent's side of the field once each. The effects of Effect Monsters destroyed by this attack(s) are not activated.	
154	Dig Beak	500	800	2	Beast	EARTH	None	None	This creature rolls up its long, snake-like body and uses its beak to attack.	
1433	Dimension Distortion	0	0	0	Spell	Spell	Spell	None	You can only activate this card if there are no cards in your Graveyard. Select 1 removed from play monster and Special Summon it on your side of the field.	
1482	Dimension Fusion	0	0	0	Spell	Spell	Spell	None	Pay 2000 Life Points. Both players Special Summon as many of their removed from play monsters as possible.	
1231	Dimension Jar	200	200	2	Machine	DARK	Effect	None	FLIP: Both players can remove from play up to 3 monsters from their opponent's Graveyard.	
1933	Dimension Wall	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack with a monster. Instead of you, your opponent takes the Battle Damage you would have taken as a result of this battle.	
241	Dimensional Warrior	1200	1000	4	Warrior	EARTH	Effect	None	When this card Attacks or is attacked, both this card and the opposing monster are removed from play and cannot return during the current Duel.	
887	Dimensionhole	0	0	0	Spell	Spell	Spell	None	Select 1 monster on your side of the field and remove it from play until your next Standby Phase. While the monster is removed from play, the Monster Card Zone of the selected monster cannot be used.	
1087	Disappear	0	0	0	Trap	Trap	Trap	None	Remove 1 card from your opponent's Graveyard from play.	
1299	Disarmament	0	0	0	Trap	Trap	Trap	None	Destroy all Equip Spell Cards on the field.	
1533	Disc Fighter	1000	1000	4	Warrior	EARTH	Effect	None	If this card attacks a Defense Position monster with DEF 2000 or more, destroy the monster with this card's effect without applying Damage Calculation.	
2037	Disciple of the Forbidden Spell	1700	800	4	Warrior	LIGHT	Effect	None	When this card is Normal Summoned, Flip Summoned, or Special Summoned, declare different Monster Card Attributes equal to the number of @5"Disciple of the Forbidden Spell"@7(s) in your Graveyard. If this card attacks a monster that has a declared Attribute, destroy the monster without applying damage calculation.	
528	Disk Magician	1350	1000	4	Machine	DARK	None	None	This monster hides in a saucer and only appears when executing an attack.	
229	Dissolverock	900	1000	3	Rock	EARTH	None	None	A monster born in the lava pits, it generates intense heat that can melt away its enemies.	
1196	Disturbance Strategy	0	0	0	Trap	Trap	Trap	None	Your opponent adds all cards in his/her hand to the Deck and shuffles the Deck. Your opponent then draws the same number of cards that he/she added to the Deck.	
2054	Divine Dragon - Excelion	1500	900	5	Dragon	LIGHT	Effect	None	When this card is Normal Summoned, it gets 1 of the following effects for each @5"Divine Dragon - Excelion"@7 in your Graveyard when this effect resolves (your choice). These effects cannot accumulate. @4 @7Increase the ATK of this card by 1000 points. @4 @7If this card destroys your opponent's monster as a result of battle, it can attack once again in a row. @4 @7When this card destroys a monster as a result of battle and sends it to the Graveyard, inflict damage to your opponent's Life Points equal to the ATK of the destroyed monster.	
1754	Divine Dragon Ragnarok	1500	1000	4	Dragon	LIGHT	None	None	A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.	
1939	Divine Sword - Phoenix Blade	0	0	0	Spell	Spell	Spell	Equip	You can only equip this card to a Warrior-Type monster. Increase the ATK of the equipped monster by 300 points. If this card is in your Graveyard during your Main Phase, by removing from play 2 Warrior-Type monsters from your Graveyard, add this card to your hand.	
1741	Divine Wrath	0	0	0	Trap	Trap	Trap	Counter	Discard 1 card from your hand. Negate the activation and the effect of an Effect Monster and destroy the monster.	
140	Djinn the Watcher of the Wind	700	900	3	Spellcaster	WIND	None	None	This creature generates gale-force winds and tornadoes to blow its enemies away.	
760	DNA Surgery	0	0	0	Trap	Trap	Trap	Continuous	When you activate this card, declare 1 Type of monster. As long as this card remains face-up on the field, all face-up monsters become the Type you declared.	
1495	DNA Transplant	0	0	0	Trap	Trap	Trap	Continuous	Declare 1 Attribute when you activate this card. While this card is face-up on the field, the Attribute of all face-up monsters on the field becomes the one you declared.	
1908	Doitsu	100	200	4	Fairy	EARTH	Union	None	Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your @5"Soitsu"@7 as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK of the equipped monster by 2500 points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)	
148	Dokuroizo the Grim Reaper	900	1200	3	Zombie	DARK	None	None	A messenger of doom that steals a soul with a single blow.	
583	Dokurorider	1900	1850	6	Zombie	DARK	Ritual	None	This monster can only be Ritual Summoned with the Ritual Spell Card, @5"Revival of Dokurorider"@7. You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.	
905	Dokuroyaiba	1000	400	3	Fiend	FIRE	None	None	A boomerang with brains that will pursue a target to the ends of the earth.	
1462	Don Turtle	1100	1200	3	Reptile	WATER	Effect	None	When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of @5"Don Turtle"@7(s) from your hand.	
2045	Doom Dozer	2800	2600	8	Insect	EARTH	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 2 Insect-Type monsters in your Graveyard. When this card inflicts Battle Damage to your opponent's Life Points, send 1 card from the top of your opponent's Deck to the Graveyard.	
1854	Doriado's Blessing	0	0	0	Spell	Spell	Spell	Ritual	This card is used to Ritual Summon @5"Elemental Mistress Doriado"@7. You must also Tribute monsters whose total Levels equal 3 or more from the field or your hand.	
185	Doron	900	500	2	Warrior	EARTH	None	None	This monster splits in two and attacks from opposite sides.	
193	Dorover	900	800	3	Aqua	WATER	None	None	This ugly monster emits a highly poisonous gas.	
1851	Double Attack	0	0	0	Spell	Spell	Spell	None	Discard 1 Monster Card from your hand to the Graveyard. Select 1 monster on your side of the field with a lower Level than the discarded monster. The selected monster can attack twice this turn.	
1583	Double Coston	1700	1650	4	Zombie	DARK	Effect	None	If you Tribute Summon a DARK monster, you can treat this 1 monster as 2 Tribute Monsters for the Tribute Summon.	
1012	Double Snare	0	0	0	Spell	Spell	Spell	None	Destroy 1 face-up card on the field that has the effect that negates Trap Cards' effects.	
1048	Dragged Down into the Grave	0	0	0	Spell	Spell	Spell	None	You and your opponent look at each other's hands, select 1 card from each other's hands and discard them to the Graveyard, and each draw 1 card.	
291	Dragon Capture Jar	0	0	0	Trap	Trap	Trap	Continuous	As long as this card remains face-up on the field, all face-up Dragon-Type monsters are changed to Defense Position and cannot change their Battle Position.	
1022	Dragon Manipulator	700	800	3	Warrior	EARTH	Effect	None	FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.	
417	Dragon Seeker	2000	2100	6	Fiend	DARK	Effect	None	When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.	
134	Dragon Statue	1100	900	3	Warrior	EARTH	None	None	A stone warrior with the heart of a dragon.	
103	Dragon Zombie	1600	0	3	Zombie	DARK	None	None	A dragon revived by sorcery. Its breath is highly corrosive.	
1040	Dragon's Gunfire	0	0	0	Spell	Spell	Spell	None	You can activate this card only when you have a face-up Dragon-Type monster on your side of the field. Select and activate 1 of the following effects: @4 @7Inflict 800 points of damage to your opponent's Life Points. @4 @7Destroy 1 face-up monster with a DEF of 800 points or less.	
1918	Dragon's Mirror	0	0	0	Spell	Spell	Spell	None	Remove from play, from your side of the field or your Graveyard, Fusion Material Monsters that are listed on a Dragon-Type Fusion Monster Card, and Special Summon that Fusion Monster from your Fusion Deck. (This Special Summon is treated as a Fusion Summon).	
1043	Dragon's Rage	0	0	0	Trap	Trap	Trap	Continuous	When a Dragon-Type monster on your side of the field attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.	
276	Dragoness the Wicked Knight	1200	900	3	Warrior	WIND	Fusion	None	@5"Armaill"@7 + @5"One-Eyed Shield Dragon"@7	
1554	Draining Shield	0	0	0	Trap	Trap	Trap	None	Negate the attack of 1 of your opponent's monsters and increase your Life Points by the attacking monster's ATK.	
123	Dream Clown	1200	900	3	Warrior	EARTH	Effect	None	When this card is changed from Attack Position to Defense Position, destroy 1 monster on your opponent's side of the field.	
968	Dreamsprite	300	200	2	Plant	LIGHT	Effect	None	When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.	
631	Drill Bug	1100	200	2	Insect	EARTH	Effect	None	When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 @5"Parasite Paracide"@7 card from your Deck, shuffle the Deck, and place @5"Parasite Paracide"@7 on top of the Deck.	
1211	Drillago	1600	1100	4	Machine	DARK	Effect	None	If the only cards on your opponent's side of the field are face-up monsters with ATK 1600 or more, this monster can attack your opponent's Life Points directly.	
1877	Drillroid	1600	1600	4	Machine	EARTH	Effect	None	If this card attacks a Defense Position monster, destroy the monster with this card's effect without applying damage calculation.	
754	Driving Snow	0	0	0	Trap	Trap	Trap	None	You can activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.	
195	Droll Bird	600	500	2	Winged Beast	WIND	None	None	A monster that shocks its enemies with its massive beak and ear-piercing wails.	
473	Drooling Lizard	900	800	3	Reptile	EARTH	None	None	A blood-sucking snake in human form that attacks any living being that passes nearby.	
1091	Drop Off	0	0	0	Trap	Trap	Trap	None	This card can only be activated during your opponent's Draw Phase. Your opponent discards the card he/she drew to the Graveyard from their hand immediately.	
204	Dryad	1200	1400	4	Spellcaster	EARTH	None	None	A spirit of the forest powered by the surrounding trees and wildlife.	
1829	Dummy Golem	800	800	2	Rock	EARTH	Effect	None	FLIP: Your opponent selects 1 monster that he/she controls. Switch control of the selected monster and this card.	
635	Dunames Dark Witch	1800	1050	4	Fairy	LIGHT	None	None	Even when the odds are against this brave fairy, this monster will engage in battle and never run away.	
1592	Dust Barrier	0	0	0	Spell	Spell	Spell	Continuous	Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is destroyed during your second Standby Phase after activation.	
1715	Eagle Eye	1300	1200	3	Winged Beast	WIND	Effect	None	When this card is Normal Summoned successfully, no Trap Cards can be activated.	
1486	Earth Chant	0	0	0	Spell	Spell	Spell	Ritual	This card is used to Ritual Summon any EARTH Ritual Monster. You must also Tribute monsters from the field or your hand whose total Levels equal the Level of the Ritual Monster you are attempting to Ritual Summon.	
941	Earthbound Spirit	500	2000	4	Fiend	EARTH	None	None	A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.	
1563	Earthbound Spirit's Invitation	0	0	0	Trap	Trap	Trap	None	Can be activated when an opponent's Monster attacks. The owner of this card selects the target of the attacker.	
1545	Earthquake	0	0	0	Spell	Spell	Spell	None	All face-up monsters on the field are changed to Defense Position.	
1914	Ebon Magician Curran	1200	0	2	Spellcaster	DARK	Effect	None	During your Standby Phase, inflict 300 points of damage to your opponent's Life Points for each monster on your opponent's side of the field.	
663	Ectoplasmer	0	0	0	Spell	Spell	Spell	Continuous	Only once during each player's End Phase, each player Tributes 1 face-up monster on his/her side of the field and inflicts damage to the opponent's Life Points equal to half of the original ATK of the Tributed Monster.	
987	Ekibyo Drakmord	0	0	0	Spell	Spell	Spell	Equip	A monster equipped with this card cannot attack. Destroy the equipped monster at the end of the 2nd turn of the controller of the equipped monster. At that time, this card is returned to the owner's hand.	
440	Eldeen	950	1000	3	Spellcaster	LIGHT	None	None	The cane of this monster is the source of many powerful spells.	
391	Electric Snake	800	900	3	Thunder	LIGHT	Effect	None	When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.	
288	Elegant Egotist	0	0	0	Spell	Spell	Spell	None	You can only activate this card when there are 1 or more @5"Harpie Lady"@7 on the field. Special Summon 1 @5"Harpie Lady"@7 or @5"Harpie Lady Sisters"@7 from your hand or your Deck.	
1762	Element Doom	1500	1200	4	Fiend	DARK	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7EARTH: Negate the effect of an Effect Monster that is destroyed by this monster as a result of battle. @4 @7WIND:If this card destroyed your opponent's monster as a result of battle, it can attack once again in a row.	
1648	Element Dragon	1500	1200	4	Dragon	LIGHT	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7FIRE: Increase the ATK of this card by 500 points. @4 @7WIND: If this card destroyed your opponent's monster as a result of battle, it can attack once again in a row.	
1706	Element Magician	1500	1200	4	Spellcaster	LIGHT	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7WATER: Control of this card cannot switch. @4 @7WIND: If this card destroyed your opponent's monster as a result of battle, it can attack once again in a row.	
1707	Element Saurus	1500	1200	4	Dinosaur	DARK	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7FIRE: Increase the ATK of this card by 500 points. @4 @7EARTH: Negate the effect of an Effect Monster that is destroyed by this monster as a result of battle.	
1649	Element Soldier	1500	1200	4	Fiend	DARK	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7WATER: Control of this card cannot switch. @4 @7EARTH: Negate the effect of an Effect Monster that is destroyed by this monster as a result of battle.	
1761	Element Valkyrie	1500	1200	4	Fairy	LIGHT	Effect	None	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: @4 @7FIRE:Increase the ATK of this card by 500 points.  @4 @7WATER:Control of this card cannot switch.	
1804	Elemental Burst	0	0	0	Trap	Trap	Trap	None	Tribute 1 each of WIND, WATER, FIRE, and EARTH monsters on your side of the field to activate this card. Destroy all cards on your opponent's side of the field.	
1813	Elemental Hero Avian	1000	1000	3	Warrior	WIND	None	None	A winged Elemental Hero who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.	
1948	Elemental Hero Bladedge	2600	1800	7	Warrior	EARTH	Effect	None	During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent's Life Points.	
1882	Elemental Hero Bubbleman	800	1200	4	Warrior	WATER	Effect	None	If this is the only card in your hand, you can Special Summon this card from your hand. When this card is Normal Summoned, Flip Summoned or Special Summoned successfully, if there are no other cards on your side of the field and in your hand, you can draw 2 cards from your Deck.	
1814	Elemental Hero Burstinatrix	1200	800	3	Warrior	FIRE	None	None	A flame manipulator who is the only woman among the Elemental Heroes. Her Burstfire burns away villainy.	
1815	Elemental Hero Clayman	800	2000	4	Warrior	EARTH	None	None	An Elemental Hero with a clay body built-to-last. He'll preserve his Elemental Hero colleagues at any cost.	
2071	Elemental Hero Erikshieler	2900	2600	10	Warrior	LIGHT	Fusion/Effect	None	@5"Elemental Hero Avian"@7 + @5"Elemental Hero Burstinatrix"@7 + @5"Elemental Hero Clayman"@7 + @5"Elemental Hero Bubbleman"@7 This monster cannot be Special Summoned except by Fusion Summon. The Attribute of this card is also treated as WIND, WATER, FIRE, and EARTH. When this card are successfully Fusion Summoned, all cards that have been removed from the game are returned to their owner's Deck and the Deck is shuffled. For each Monster Card with the same attribute as this card on your opponent's Field, the ATK of this card increases by 300 points.	
1848	Elemental Hero Flame Wingman	2100	1200	6	Warrior	WIND	Fusion/Effect	None	@5"Elemental Hero Avian"@7 + @5"Elemental Hero Burstinatrix"@7 This monster cannot be Special Summoned except by Fusion Summon. When this card destroys a monster as a result of battle and sends it to the Graveyard, inflict damage to your opponent's Life Points equal to the ATK of the destroyed monster.	
1996	Elemental Hero Madballman	1900	3000	6	Warrior	EARTH	Fusion/Effect	None	@5"Elemental Hero Bubbleman"@7 + @5"Elemental Hero Clayman"@7 This monster cannot be Special Summoned except by Fusion Summon.	
1994	Elemental Hero Necroshade	1600	1800	5	Warrior	DARK	Effect	None	While this card is in the Graveyard, you can Summon any @5"Elemental Hero"@7 card without giving a card as a Tribute. This effect can only be used once while the card remains in the Graveyard.	
2015	Elemental Hero Neo Bubbleman	800	1200	4	Warrior	WATER	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending @5"Elemental Hero Bubbleman"@7 on your side of the field and @5"Metamorphosis"@7 in your hand to the Graveyard. This card's name is treated as @5"Elemental Hero Bubbleman"@7 while it is face-up on the field. Destroy an opponent's monster that battles this card at the end of the Damage Step.	
2079	Elemental Hero Neos	2500	2000	7	Warrior	LIGHT	None	None	A brand-new Elemental Hero from Neospatian. It exerts an unknown power when Contact Fused with Neospatian.	
1957	Elemental Hero Rampart Blaster	2000	2500	6	Warrior	EARTH	Fusion/Effect	None	@5"Elemental Hero Clayman"@7 + @5"Elemental Hero Burstinatrix"@7 This monster cannot be Special Summoned except by Fusion Summon. While this card is in face-up Defense Position, this card can attack your opponent's Life Points directly. In that case, apply half the ATK of this card for damage calculation.	
1940	Elemental Hero Shining Flare Wingman	2500	2100	8	Warrior	LIGHT	Fusion/Effect	None	@5"Elemental Hero Flame Wingman"@7 + @5"Elemental Hero Sparkman"@7 This monster cannot be Special Summoned except by Fusion Summon. Increase the ATK of this card by 300 points for each card in your Graveyard that includes @5"Elemental Hero"@7 in its card name. When this card destroys a monster as a result of battle and sends it to the Graveyard, inflict damage to your opponent's Life Points equal to the ATK of the destroyed monster.	
1816	Elemental Hero Sparkman	1600	1400	4	Warrior	LIGHT	None	None	An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy.	
2000	Elemental Hero Steam Healer	1800	1000	5	Warrior	WATER	Fusion/Effect	None	@5"Elemental Hero Burstinatrix"@7 + @5"Elemental Hero Bubbleman"@7 This monster cannot be Special Summoned except by Fusion Summon. When this card destroys a monster as a result of battle and sends it to the Graveyard, increase your Life Points by the ATK of the destroyed monster.	
1958	Elemental Hero Tempest	2800	2800	8	Warrior	WIND	Fusion/Effect	None	@5"Elemental Hero Avian"@7 + @5"Elemental Hero Sparkman"@7 + @5"Elemental Hero Bubbleman"@7 This monster cannot be Special Summoned except by Fusion Summon. By sending 1 card (except this card) from your side of the field to the Graveyard, select 1 monster on your side of the field. While this card is face-up on the field, the selected monster is not destroyed as a result of battle. (Damage calculation is applied normally.)	
1849	Elemental Hero Thunder Giant	2400	1500	6	Warrior	LIGHT	Fusion/Effect	None	@5"Elemental Hero Sparkman"@7 + @5"Elemental Hero Clayman"@7 This monster cannot be Special Summoned except by Fusion Summon. By discarding 1 card from your hand, select and destroy 1 face-up monster on the field with an original ATK that is less than the ATK of this card. You can only use this effect once per turn, during your Main Phase.	
1959	Elemental Hero Wildedge	2600	2300	8	Warrior	EARTH	Fusion/Effect	None	@5"Elemental Hero Wildheart"@7 + @5"Elemental Hero Bladedge"@7 This monster cannot be Special Summoned except by Fusion Summon. This card can attack all monsters on your opponent's side of the field once each.	
1949	Elemental Hero Wildheart	1500	1600	4	Warrior	EARTH	Effect	None	This card is unaffected by the effects of Trap Cards.	
1847	Elemental Mistress Doriado	1200	1400	3	Spellcaster	LIGHT	Ritual/Effect	None	This card can only be Ritual Summoned with the Ritual Spell Card, @5"Doriado's Blessing"@7. The Attribute of this card is also treated as WIND, WATER, FIRE, and EARTH.	
1579	Elephant Statue of Blessing	1500	0	3	Rock	EARTH	Effect	None	When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, increase your Life Points by 2000 points.	
1580	Elephant Statue of Disaster	1500	0	3	Rock	EARTH	Effect	None	When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 2000 points of damage to your opponent's Life Points.	
1292	Emblem of Dragon Destroyer	0	0	0	Spell	Spell	Spell	None	Add 1 @5"Buster Blader"@7 from your Deck or your Graveyard to your hand.	
947	Embodiment of Apophis	0	0	0	Trap	Trap	Trap	Continuous	This card can only be activated during a Main Phase. After activating, it becomes a Monster Card (Reptile-Type/EARTH/4 Star/ATK 1600/DEF 1800), and Special Summons in the Monster Card zone (Also treated as a Trap Card).	
239	Embryonic Beast	500	750	2	Fiend	DARK	None	None	An imperfect monster with a belly vortex that sucks in opponents of any size.	
1046	Emergency Provisions	0	0	0	Spell	Spell	Spell	Quick-Play	Send Spell or Trap Cards on your side of the field to the Graveyard except this card. Increase your Life Points by 1000 points for each card sent to the Graveyard.	
1502	Emes the Infinity	2500	2000	7	Machine	LIGHT	Effect	None	Each time this card destroys an opponent's monster and sends it to the Graveyard as a result of battle, increase the ATK of this card by 700 points.	
1582	Emissary of the Afterlife	1600	600	4	Fiend	DARK	Effect	None	When this card is sent from the field to the Graveyard, each player selects 1 Level 3 or lower Normal Monster from their Deck, and adds it to their hand after showing it to the opponent. The Decks are then shuffled.	
1588	Emissary of the Oasis	600	400	3	Spellcaster	LIGHT	Effect	None	While a face-up Level 3 or lower Normal Monster is on your side of the field, your opponent cannot select this card as an attack target. While this card is face-up on your side of the field, any Battle Damage to the controller of this card from battle involving a Level 3 or lower Normal Monster becomes 0.	
919	Empress Mantis	2200	1400	6	Insect	WIND	None	None	Queen of an army of giant mantises whose command moves legions.	
994	Enchanted Arrow	0	0	0	Spell	Spell	Spell	Quick-Play	Destroys all face-up Spell Cards controlled by your opponent on the Field. For each Spell Card destroyed, your opponent receives 500 damage.	
795	Enchanted Javelin	0	0	0	Trap	Trap	Trap	None	Increase your Life Points by the ATK of 1 attacking monster.	
1597	Enchanting Fitting Room	0	0	0	Spell	Spell	Spell	None	Pay 800 Life Points. Pick up 4 cards from the top of your Deck and Special Summon to your side of the field all Level 3 or lower Normal Monsters among the picked-up cards. Return all the other picked-up cards to your Deck and the Deck is then shuffled.	
236	Enchanting Mermaid	1200	900	3	Fish	WATER	None	None	A beautiful mermaid that lures voyagers to a watery grave.	
2060	End of the World	0	0	0	Spell	Spell	Spell	Ritual	This card can be used to Ritual Summon @5"Ruin, Queen of Oblivion"@7 or @5"Demise, King of Armageddon"@7. You must also Tribute monsters from the field or your hand whose total Levels equal the Level of the Ritual Monster you are attempting to Ritual Summon.	
1444	Energy Drain	0	0	0	Trap	Trap	Trap	None	Select 1 face-up monster on your side of the field. Increase the ATK and DEF of the monster by an amount equal to the number of cards in your opponent's hand x 200 points, until the End Phase.	
1677	Enervating Mist	0	0	0	Trap	Trap	Trap	Continuous	Your opponent's hand size limit becomes 5.	
1461	Enraged Battle Ox	1700	1000	4	Beast-Warrior	EARTH	Effect	None	During battle between attacking Beast, Beast-Warrior or Winged Beast-Type monsters on your side of the field and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent's Life Points.	
1656	Enraged Muka Muka	1200	600	5	Rock	EARTH	Effect	None	Increase the ATK and DEF of this card by 400 points for each card in your hand.	
1840	Eria the Water Charmer	500	1500	3	Spellcaster	WATER	Effect	None	FLIP: Take control of 1 WATER monster on your opponent's side of the field, for as long as this card remains face-up on the field.	
537	Eternal Rest	0	0	0	Spell	Spell	Spell	None	Destroy all monsters equipped with Equip Spell Cards.	
1953	Etoile Cyber	1200	1600	4	Warrior	EARTH	Effect	None	If this card attacks your opponent's Life Points directly, increase the ATK of this card by 500 points during the Damage Step only.	
1135	Exarion Universe	1800	1900	4	Beast-Warrior	DARK	Effect	None	You may activate this during the Battle Phase of your turn. If you attack a monster in Defense Position with the ATK of this card reduced by 400, and this card's ATK is higher than the defending card's DEF, the difference is inflicted on the opponent as Life Points damage.	
1304	Excavation of Mage Stones	0	0	0	Spell	Spell	Spell	None	Discard 2 cards from your Hand to return one Spell Card from your Graveyard to your Hand.	
933	Exchange	0	0	0	Spell	Spell	Spell	None	Both players show their hands to each other and select 1 card from each other's hand. Add the selected card to your hand and you can use it in this Duel. (When the cards are sent to the Graveyard, they are sent to the Graveyard of the original owner.)	
1296	Exhausting Spell	0	0	0	Trap	Trap	Trap	None	Remove all Spell Counters on both sides of the field.	
